Title,KPI Description,KPI Number ,KPINumberShort,Financial Year ,Cluster,Impact Area/Centre,Status,Planned Q delivery,Actual Q delivered,Responsible Person,RG,Target/Forecast,Is this KPI Shared with another Cluster?,"If the KPI is Shared with another Cluster, please select the Cluster involved.",Evidence Link,Created,Modified
Dummy KPI Project 11,Dummy project for Joint Tech Development Agreements,KPI 07 Joint Tech Development Agreements,KPI 07,2024/2025,Smart Places,EC,Approved,Q4,Q2,C. Jacobs,Dummy RG,Target,No,Smart Mobility,https://example.com/dummy-evidence,2025-11-27T06:20:55.873122,2026-02-08T06:20:55.873122
Dummy KPI Project 12,Dummy project for Standards Delivered,KPI 10 Standards Delivered,KPI 10,2025/2026,Smart Places,WC,Moved to Next FY,Q3,,B. Ndlovu,Dummy RG,Target,Yes,Smart Mobility,https://example.com/dummy-evidence,2025-06-12T06:20:55.873122,2026-02-16T06:20:55.873122
Dummy KPI Project 13,Dummy project for Localized Technologies,KPI 06 Localized Technologies,KPI 06,2025/2026,Smart Places,TSO,Forecast,Q4,Q3,D. Naidoo,Dummy RG,Forecast,Yes,Smart Mobility,https://example.com/dummy-evidence,2025-12-05T06:20:55.873122,2026-02-12T06:20:55.873122
Dummy KPI Project 14,Dummy project for Reports for National Policy,KPI 09 Reports for National Policy,KPI 09,2024/2025,Smart Places,FBI,Moved to Next FY,Q1,Q4,F. van Wyk,Dummy RG,Target,No,NGEI (& NICIS),https://example.com/dummy-evidence,2025-07-15T06:20:55.873122,2026-02-05T06:20:55.873122
Dummy KPI Project 15,Dummy project for New Priority Patents,KPI 02 New Priority Patents,KPI 02,2025/2026,Smart Mobility,NICIS,In Review,Q1,Q1,F. van Wyk,Dummy RG,Target,No,Smart Mobility,https://example.com/dummy-evidence,2025-05-21T06:20:55.873122,2026-02-24T06:20:55.873122
Dummy KPI Project 16,Dummy project for Standards Delivered,KPI 10 Standards Delivered,KPI 10,2024/2025,Smart Mobility,SE,Approved,Q3,Q1,F. van Wyk,Dummy RG,Target,No,NGEI (& NICIS),https://example.com/dummy-evidence,2025-11-10T06:20:55.873122,2026-02-13T06:20:55.873122
Dummy KPI Project 17,Dummy project for New Patents Granted,KPI 03 New Patents Granted,KPI 03,2024/2025,Smart Mobility,HCC,Moved to Next FY,Q2,Q4,C. Jacobs,Dummy RG,Target,No,Smart Mobility,https://example.com/dummy-evidence,2025-04-19T06:20:55.873122,2026-02-26T06:20:55.873122
Dummy KPI Project 18,Dummy project for SMMEs Supported,KPI 08 SMMEs Supported,KPI 08,2024/2025,Smart Places,NSA,Moved to Next FY,Q1,Q1,F. van Wyk,Dummy RG,Target,No,NGEI (& NICIS),https://example.com/dummy-evidence,2025-07-24T06:20:55.873122,2026-02-18T06:20:55.873122
Dummy KPI Project 19,Dummy project for Standards Delivered,KPI 10 Standards Delivered,KPI 10,2024/2025,Smart Mobility,HCC,Forecast,Q3,,E. Maseko,Dummy RG,Forecast,Yes,NGEI (& NICIS),https://example.com/dummy-evidence,2025-03-31T06:20:55.873122,2026-02-27T06:20:55.873122
Dummy KPI Project 20,Dummy project for Reports for National Policy,KPI 09 Reports for National Policy,KPI 09,2025/2026,Smart Places,SE,Approved,Q4,Q2,F. van Wyk,Dummy RG,Target,Yes,Smart Places,https://example.com/dummy-evidence,2025-07-05T06:20:55.873122,2026-02-13T06:20:55.873122
Dummy KPI Project 21,Dummy project for Publication Equivalents,KPI 01 Publication Equivalents,KPI 01,2025/2026,NGEI (& NICIS),eGov,Approved,Q4,Q4,B. Ndlovu,Dummy RG,Target,No,Smart Mobility,https://example.com/dummy-evidence,2025-04-04T06:20:55.873122,2026-02-21T06:20:55.873122
Dummy KPI Project 22,Dummy project for SMMEs Supported,KPI 08 SMMEs Supported,KPI 08,2024/2025,Smart Places,eGov,Approved,Q1,,B. Ndlovu,Dummy RG,Target,No,Smart Places,https://example.com/dummy-evidence,2026-01-19T06:20:55.873122,2026-02-27T06:20:55.873122
Dummy KPI Project 23,Dummy project for SMMEs Supported,KPI 08 SMMEs Supported,KPI 08,2024/2025,Smart Places,FBI,In Review,Q2,Q3,C. Jacobs,Dummy RG,Target,Yes,NGEI (& NICIS),https://example.com/dummy-evidence,2025-10-28T06:20:55.873122,2026-02-25T06:20:55.873122
Dummy KPI Project 24,Dummy project for New Patents Granted,KPI 03 New Patents Granted,KPI 03,2024/2025,NGEI (& NICIS),HCC,Approved,Q1,Q3,A. Molefe,Dummy RG,Target,Yes,Smart Mobility,https://example.com/dummy-evidence,2026-01-26T06:20:55.873122,2026-02-21T06:20:55.873122
Dummy KPI Project 25,Dummy project for New Patents Granted,KPI 03 New Patents Granted,KPI 03,2025/2026,Smart Places,EDT4IR,Forecast,Q2,,D. Naidoo,Dummy RG,Forecast,Yes,NGEI (& NICIS),https://example.com/dummy-evidence,2025-06-23T06:20:55.873122,2026-02-14T06:20:55.873122
Dummy KPI Project 26,Dummy project for New Technology Demonstrators,KPI 04 New Technology Demonstrators,KPI 04,2024/2025,Smart Places,EC,Approved,Q1,Q2,B. Ndlovu,Dummy RG,Target,No,Smart Mobility,https://example.com/dummy-evidence,2025-08-01T06:20:55.873122,2026-02-07T06:20:55.873122
Dummy KPI Project 27,Dummy project for New Technology Demonstrators,KPI 04 New Technology Demonstrators,KPI 04,2024/2025,Smart Places,TSO,Approved,Q1,Q2,F. van Wyk,Dummy RG,Target,Yes,Smart Places,https://example.com/dummy-evidence,2025-11-14T06:20:55.873122,2026-03-01T06:20:55.873122
Dummy KPI Project 28,Dummy project for Standards Delivered,KPI 10 Standards Delivered,KPI 10,2025/2026,Smart Places,FBI,Moved to Next FY,Q4,,F. van Wyk,Dummy RG,Target,No,NGEI (& NICIS),https://example.com/dummy-evidence,2025-06-22T06:20:55.873122,2026-02-27T06:20:55.873122
Dummy KPI Project 29,Dummy project for New Patents Granted,KPI 03 New Patents Granted,KPI 03,2024/2025,NGEI (& NICIS),HCC,In Review,Q2,Q3,B. Ndlovu,Dummy RG,Target,No,Smart Places,https://example.com/dummy-evidence,2025-07-04T06:20:55.873122,2026-03-04T06:20:55.873122
Dummy KPI Project 30,Dummy project for New Technology Demonstrators,KPI 04 New Technology Demonstrators,KPI 04,2024/2025,Smart Places,NSA,In Review,Q2,Q1,A. Molefe,Dummy RG,Target,No,Smart Mobility,https://example.com/dummy-evidence,2025-08-12T06:20:55.873122,2026-02-08T06:20:55.873122
Dummy KPI Project 31,Dummy project for Publication Equivalents,KPI 01 Publication Equivalents,KPI 01,2025/2026,NGEI (& NICIS),TIE,Forecast,Q3,Q2,E. Maseko,Dummy RG,Forecast,No,Smart Mobility,https://example.com/dummy-evidence,2026-02-01T06:20:55.873122,2026-02-09T06:20:55.873122
Dummy KPI Project 32,Dummy project for Exchange Programs with Industry,KPI 22 Exchange Programs with Industry,KPI 22,2024/2025,Smart Mobility,NICIS,Forecast,Q1,,A. Molefe,Dummy RG,Forecast,Yes,Smart Places,https://example.com/dummy-evidence,2025-07-26T06:20:55.873122,2026-02-08T06:20:55.873122
Dummy KPI Project 33,Dummy project for New Technology Demonstrators,KPI 04 New Technology Demonstrators,KPI 04,2024/2025,Smart Mobility,WC,Forecast,Q3,Q4,D. Naidoo,Dummy RG,Forecast,No,Smart Mobility,https://example.com/dummy-evidence,2025-06-29T06:20:55.873122,2026-02-12T06:20:55.873122
Dummy KPI Project 34,Dummy project for Joint Tech Development Agreements,KPI 07 Joint Tech Development Agreements,KPI 07,2024/2025,Smart Mobility,TIE,Moved to Next FY,Q2,Q1,D. Naidoo,Dummy RG,Target,No,Smart Mobility,https://example.com/dummy-evidence,2025-02-11T06:20:55.873122,2026-02-20T06:20:55.873122
Dummy KPI Project 35,Dummy project for Publication Equivalents,KPI 01 Publication Equivalents,KPI 01,2024/2025,Smart Places,HCC,Forecast,Q4,Q3,A. Molefe,Dummy RG,Forecast,No,Smart Places,https://example.com/dummy-evidence,2025-06-04T06:20:55.873122,2026-02-12T06:20:55.873122
Dummy KPI Project 36,Dummy project for New Patents Granted,KPI 03 New Patents Granted,KPI 03,2024/2025,Smart Places,TIE,In Review,Q3,,D. Naidoo,Dummy RG,Target,No,Smart Mobility,https://example.com/dummy-evidence,2026-01-16T06:20:55.873122,2026-02-24T06:20:55.873122
Dummy KPI Project 37,Dummy project for New Technology Demonstrators,KPI 04 New Technology Demonstrators,KPI 04,2024/2025,Smart Places,eGov,Forecast,Q3,Q3,F. van Wyk,Dummy RG,Forecast,No,NGEI (& NICIS),https://example.com/dummy-evidence,2025-09-13T06:20:55.873122,2026-02-11T06:20:55.873122
Dummy KPI Project 38,Dummy project for New Patents Granted,KPI 03 New Patents Granted,KPI 03,2025/2026,Smart Places,HCC,Approved,Q2,,C. Jacobs,Dummy RG,Target,Yes,Smart Places,https://example.com/dummy-evidence,2025-11-02T06:20:55.873122,2026-02-08T06:20:55.873122
Dummy KPI Project 39,Dummy project for Projects Implemented for State Capability,KPI 11 Projects Implemented for State Capability,KPI 11,2025/2026,Smart Places,NSA,Forecast,Q4,Q2,A. Molefe,Dummy RG,Forecast,Yes,Smart Mobility,https://example.com/dummy-evidence,2025-04-28T06:20:55.873122,2026-02-07T06:20:55.873122
Dummy KPI Project 40,Dummy project for New Technology Demonstrators,KPI 04 New Technology Demonstrators,KPI 04,2025/2026,NGEI (& NICIS),TSO,Moved to Next FY,Q3,Q4,F. van Wyk,Dummy RG,Target,Yes,Smart Mobility,https://example.com/dummy-evidence,2026-01-11T06:20:55.873122,2026-02-24T06:20:55.873122
Dummy KPI Project 41,Dummy project for Technology License Agreements Signed,KPI 05 Technology License Agreements Signed,KPI 05,2024/2025,Smart Mobility,eGov,Approved,Q2,Q2,B. Ndlovu,Dummy RG,Target,Yes,Smart Mobility,https://example.com/dummy-evidence,2025-12-29T06:20:55.873122,2026-02-16T06:20:55.873122
Dummy KPI Project 42,Dummy project for Technology License Agreements Signed,KPI 05 Technology License Agreements Signed,KPI 05,2025/2026,Smart Mobility,eGov,In Review,Q2,Q1,B. Ndlovu,Dummy RG,Target,Yes,Smart Mobility,https://example.com/dummy-evidence,2025-09-25T06:20:55.873122,2026-02-24T06:20:55.873122
Dummy KPI Project 43,Dummy project for Standards Delivered,KPI 10 Standards Delivered,KPI 10,2025/2026,Smart Places,HCC,Moved to Next FY,Q2,Q2,C. Jacobs,Dummy RG,Target,No,Smart Places,https://example.com/dummy-evidence,2025-02-01T06:20:55.873122,2026-03-03T06:20:55.873122
Dummy KPI Project 44,Dummy project for Exchange Programs with Industry,KPI 22 Exchange Programs with Industry,KPI 22,2024/2025,Smart Places,eGov,In Review,Q3,Q4,D. Naidoo,Dummy RG,Target,Yes,NGEI (& NICIS),https://example.com/dummy-evidence,2025-08-18T06:20:55.873122,2026-02-26T06:20:55.873122
Dummy KPI Project 45,Dummy project for Standards Delivered,KPI 10 Standards Delivered,KPI 10,2024/2025,Smart Mobility,NSA,Forecast,Q1,Q3,E. Maseko,Dummy RG,Forecast,Yes,Smart Mobility,https://example.com/dummy-evidence,2025-04-05T06:20:55.873122,2026-02-14T06:20:55.873122
Dummy KPI Project 46,Dummy project for New Technology Demonstrators,KPI 04 New Technology Demonstrators,KPI 04,2024/2025,Smart Places,TIE,In Review,Q1,Q4,F. van Wyk,Dummy RG,Target,No,Smart Mobility,https://example.com/dummy-evidence,2025-06-19T06:20:55.873122,2026-02-12T06:20:55.873122
Dummy KPI Project 47,Dummy project for Technology License Agreements Signed,KPI 05 Technology License Agreements Signed,KPI 05,2025/2026,NGEI (& NICIS),EC,Moved to Next FY,Q1,Q4,D. Naidoo,Dummy RG,Target,No,NGEI (& NICIS),https://example.com/dummy-evidence,2026-01-12T06:20:55.873122,2026-02-24T06:20:55.873122
Dummy KPI Project 48,Dummy project for Publication Equivalents,KPI 01 Publication Equivalents,KPI 01,2025/2026,Smart Mobility,eGov,Approved,Q2,Q3,C. Jacobs,Dummy RG,Target,Yes,Smart Places,https://example.com/dummy-evidence,2025-07-18T06:20:55.873122,2026-02-26T06:20:55.873122
Dummy KPI Project 49,Dummy project for Localized Technologies,KPI 06 Localized Technologies,KPI 06,2024/2025,Smart Places,NSA,Forecast,Q3,Q1,E. Maseko,Dummy RG,Forecast,Yes,NGEI (& NICIS),https://example.com/dummy-evidence,2026-02-04T06:20:55.873122,2026-02-05T06:20:55.873122
Dummy KPI Project 50,Dummy project for New Patents Granted,KPI 03 New Patents Granted,KPI 03,2024/2025,NGEI (& NICIS),NICIS,In Review,Q1,Q1,F. van Wyk,Dummy RG,Target,No,Smart Mobility,https://example.com/dummy-evidence,2025-02-22T06:20:55.873122,2026-02-15T06:20:55.873122
